,trial,method_key,method,beta,target,runtime,reward,logprob,edit_distance,normalized_edit_distance
34,14,best_of_k,Rejection Sampling,10,Linear,11.502824902534485,0.1908533398643163,-826.2566528320312,212.0,0.9422222222222222
35,15,best_of_k,Rejection Sampling,10,Linear,11.49398896843195,0.2412612277378443,-599.497802734375,182.0,0.9333333333333332
36,16,best_of_k,Rejection Sampling,10,Linear,11.469805106520653,0.1557699561731232,-1375.9276123046875,238.0,0.9296875
37,17,best_of_k,Rejection Sampling,10,Linear,11.530608862638474,0.160714625368044,-2219.241943359375,234.0,0.9140625
38,18,best_of_k,Rejection Sampling,10,Linear,11.499686390161514,0.2302130717473614,-677.4811401367188,188.0,0.9494949494949496
39,19,best_of_k,Rejection Sampling,10,Linear,11.480067200958729,0.2508719824599388,-560.884765625,177.0,0.9516129032258064
40,0,bootstrap_smc,Bootstrap SMC,10,Linear,3.8234401047229767,0.26291158746530174,-536.1671752929688,171.0,0.9553072625698324
41,1,bootstrap_smc,Bootstrap SMC,10,Linear,3.8402284160256386,0.15097741817593446,-2304.4140625,242.0,0.9453125
42,2,bootstrap_smc,Bootstrap SMC,10,Linear,3.824320323765278,0.18936811371511658,-807.2427978515625,213.0,0.9466666666666668
43,3,bootstrap_smc,Bootstrap SMC,10,Linear,3.745453253388405,0.2568212456566318,-542.0591430664062,174.0,0.9508196721311476
44,4,bootstrap_smc,Bootstrap SMC,10,Linear,3.855628415942192,0.15335497212977972,-2219.705810546875,240.0,0.9375
45,5,bootstrap_smc,Bootstrap SMC,10,Linear,3.7889050990343094,0.14980250638692252,-1377.6123046875,243.0,0.94921875
46,6,bootstrap_smc,Bootstrap SMC,10,Linear,3.8232630267739296,0.15455774883914059,-2557.105224609375,239.0,0.93359375
47,7,bootstrap_smc,Bootstrap SMC,10,Linear,3.93182884901762,0.15335497212977972,-2014.8563232421875,240.0,0.9375
48,8,bootstrap_smc,Bootstrap SMC,10,Linear,3.730287261307239,0.3097855431601891,-375.53759765625,150.0,0.9493670886075948
49,9,bootstrap_smc,Bootstrap SMC,10,Linear,3.846592262387276,0.1486367287880215,-2063.080322265625,244.0,0.953125
50,10,bootstrap_smc,Bootstrap SMC,10,Linear,3.794783368706703,0.3349580462923171,-274.8116760253906,140.0,0.9722222222222222
51,11,bootstrap_smc,Bootstrap SMC,10,Linear,3.785366266965866,0.3171319062873445,-340.4254150390625,147.0,0.9735099337748344
52,12,bootstrap_smc,Bootstrap SMC,10,Linear,3.9065034091472626,0.1486367287880215,-1954.1710205078125,244.0,0.953125
53,13,bootstrap_smc,Bootstrap SMC,10,Linear,3.775353386998177,0.26086559887049643,-534.1150512695312,172.0,0.9608938547486032
54,14,bootstrap_smc,Bootstrap SMC,10,Linear,3.786430768668651,0.3146639460954579,-335.45916748046875,148.0,0.9736842105263158
55,15,bootstrap_smc,Bootstrap SMC,10,Linear,3.786945559084415,0.33235138753809385,-297.9179992675781,141.0,0.9724137931034482
56,16,bootstrap_smc,Bootstrap SMC,10,Linear,3.8144659474492073,0.18211352745285428,-852.7722778320312,218.0,0.9478260869565216
57,17,bootstrap_smc,Bootstrap SMC,10,Linear,3.822260946035385,0.15097741817593446,-1544.8341064453125,242.0,0.9453125
58,18,bootstrap_smc,Bootstrap SMC,10,Linear,3.7384542375802994,0.3097855431601891,-381.8190307617187,150.0,0.9493670886075948
59,19,bootstrap_smc,Bootstrap SMC,10,Linear,3.7601444348692894,0.26914635304885837,-501.1125183105469,168.0,0.9491525423728814
60,0,exact_guidance_u,Exact Guidance,10,Linear,305.1942900940776,0.3026093739753879,-402.6756591796875,153.0,0.9622641509433962
61,1,exact_guidance_u,Exact Guidance,10,Linear,288.81982880085707,0.314663961018459,-349.7674255371094,148.0,0.961038961038961
62,2,exact_guidance_u,Exact Guidance,10,Linear,285.8274260982871,0.3323513787550223,-298.21624755859375,141.0,0.9657534246575342
63,3,exact_guidance_u,Exact Guidance,10,Linear,292.53205601125956,0.3171319010520927,-342.9837341308594,147.0,0.9607843137254902
64,4,exact_guidance_u,Exact Guidance,10,Linear,287.71257265657187,0.3429013440037315,-255.62759399414065,137.0,0.9716312056737588
65,5,exact_guidance_u,Exact Guidance,10,Linear,290.213371604681,0.3073747782123517,-367.4211730957031,151.0,0.967948717948718
66,6,exact_guidance_u,Exact Guidance,10,Linear,281.2456352189183,0.3297649998062575,-298.86077880859375,142.0,0.9659863945578232
67,7,exact_guidance_u,Exact Guidance,10,Linear,293.1209232956171,0.2955994353773707,-416.6173706054687,156.0,0.968944099378882
68,8,exact_guidance_u,Exact Guidance,10,Linear,354.97120226174593,0.1533549668449284,-2171.778076171875,240.0,0.9375
69,9,exact_guidance_u,Exact Guidance,10,Linear,308.7851982489228,0.1569916750812332,-1012.060546875,237.0,0.92578125
70,10,exact_guidance_u,Exact Guidance,10,Linear,324.585648432374,0.1545577447569848,-1157.9232177734375,239.0,0.93359375
71,11,exact_guidance_u,Exact Guidance,10,Linear,305.62492828816175,0.2979178504832066,-404.3837585449219,155.0,0.96875
72,12,exact_guidance_u,Exact Guidance,10,Linear,305.4935816824436,0.2412612277378443,-632.8029174804688,182.0,0.9578947368421052
73,13,exact_guidance_u,Exact Guidance,10,Linear,358.24649945646524,0.1498025028641816,-2022.498291015625,243.0,0.94921875
74,14,exact_guidance_u,Exact Guidance,10,Linear,304.4506599456072,0.1684274812781842,-968.8406982421876,228.0,0.9344262295081968
75,15,exact_guidance_u,Exact Guidance,10,Linear,340.09245970100164,0.1509774184559146,-1372.687744140625,242.0,0.9453125
76,16,exact_guidance_u,Exact Guidance,10,Linear,271.9448512792587,0.353786201098432,-229.6965179443359,133.0,0.9568345323741008
77,17,exact_guidance_u,Exact Guidance,10,Linear,306.6061101704836,0.1751368693808747,-921.4569702148438,223.0,0.9291666666666668
78,18,exact_guidance_u,Exact Guidance,10,Linear,311.4311836063862,0.1878944330870016,-872.635498046875,214.0,0.9511111111111112
79,19,exact_guidance_u,Exact Guidance,10,Linear,322.3955867886543,0.1533549668449284,-1503.6551513671875,240.0,0.9375
80,0,unguided,Unguided,10,OOD Sine,1.1577265560626984,0.1594639342309481,-2011.785888671875,235.0,0.91796875
81,1,unguided,Unguided,10,OOD Sine,1.1452470645308497,0.1569916750812332,-2239.663818359375,237.0,0.92578125
82,2,unguided,Unguided,10,OOD Sine,1.1437226086854937,0.1658162552121675,-2265.396240234375,230.0,0.8984375
83,3,unguided,Unguided,10,OOD Sine,1.1366690695285795,0.1645258628766512,-1779.389404296875,231.0,0.90234375
84,4,unguided,Unguided,10,OOD Sine,1.1657754182815552,0.1632455124539584,-3050.51318359375,232.0,0.90625
85,5,unguided,Unguided,10,OOD Sine,1.175052285194397,0.1582229760494984,-2527.711669921875,236.0,0.921875
86,6,unguided,Unguided,10,OOD Sine,1.127343699336052,0.160714625368044,-1844.159912109375,234.0,0.9140625
87,7,unguided,Unguided,10,OOD Sine,1.1390872672200203,0.1569916750812332,-3116.111083984375,237.0,0.92578125
88,8,unguided,Unguided,10,OOD Sine,1.1414887458086014,0.1557699561731232,-1331.811279296875,238.0,0.9296875
89,9,unguided,Unguided,10,OOD Sine,1.1669363379478457,0.1474800303242793,-3253.219970703125,245.0,0.95703125
90,10,unguided,Unguided,10,OOD Sine,1.158882014453411,0.1582229760494984,-2382.133544921875,236.0,0.921875
91,11,unguided,Unguided,10,OOD Sine,1.1626994982361794,0.1594639342309481,-2633.78076171875,235.0,0.91796875
92,12,unguided,Unguided,10,OOD Sine,1.137816309928894,0.1671167682202057,-2390.3505859375,229.0,0.89453125
93,13,unguided,Unguided,10,OOD Sine,1.1662229597568512,0.1619751257973035,-2982.67236328125,233.0,0.91015625
94,14,unguided,Unguided,10,OOD Sine,1.1629123613238337,0.1671167682202057,-2848.398193359375,229.0,0.89453125
